isin,isin_url,descrizione,cedola,ultimo,scadenza
IT0005383309,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005383309.html,"Btp Tf 1,35% Ap30 Eur","0,675","90,20",01/04/2030
IT0005386245,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005386245.html,"Btp Tf 0,35% Fb25 Eur","0,175","98,442",01/02/2025
IT0005387052,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005387052.html,"Btpi Tf 0,4% Mg30 Eur","0,20","93,94",15/05/2030
IT0005388175,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005388175.html,Btp Italia Ot27 Eur,"0,325","95,72",28/10/2027
IT0005390874,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005390874.html,"Btp Tf 0,85% Ge27 Eur","0,425","94,80",15/01/2027
IT0005398406,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005398406.html,"Btp Tf 2,45% St50 Eur","1,225","73,40",01/09/2050
IT0005402117,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005402117.html,"Btp Tf 1,45% Mz36 Eur","0,725","78,49",01/03/2036
IT0005403396,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005403396.html,"Btp Tf 0,95% Ag30 Eur","0,475","87,30",01/08/2030
IT0005408502,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005408502.html,"Btp Tf 1,85% Lg25 Eur","0,925","98,672",01/07/2025
IT0005410912,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005410912.html,Btp Italia Mg25 Eur,"0,70","99,191",26/05/2025
IT0005413171,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005413171.html,"Btp Tf 1,65% Dc30 Eur","0,825","90,41",01/12/2030
IT0005415291,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005415291.html,Btp Futura Lg30 Eur,"0,65","88,24",14/07/2030
IT0005415416,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005415416.html,"Btpi Tf 0,65% Mg26 Eur","0,325","98,10",15/05/2026
IT0005416570,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005416570.html,"Btp Tf 0,95% St27 Eur","0,475","93,78",15/09/2027
IT0005419848,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005419848.html,"Btp Tf 0,50% Fb26 Eur","0,25","96,04",01/02/2026
IT0005421703,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005421703.html,"Btp Tf 1,8% Mz41 Eur","0,90","73,33",01/03/2041
IT0005422891,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005422891.html,"Btp Tf 0,90% Ap31 Eur","0,45","85,37",01/04/2031
IT0005425233,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005425233.html,"Btp Tf 1,7% St51 Eur","0,85","61,94",01/09/2051
IT0005425761,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005425761.html,Btp Futura Nv28 Eur,"0,30","89,71",17/11/2028
IT0005433195,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005433195.html,"Btp Tf 0,95% Mz37 Eur","0,475","71,56",01/03/2037
IT0005433690,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005433690.html,"Btp Tf 0,25% Mz28 Eur","0,125","90,38",15/03/2028
IT0005436693,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005436693.html,"Btp Tf 0,6% Ag31 Eur","0,30","82,82",01/08/2031
IT0005436701,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005436701.html,"Btpi Tf 0,15% Mg51 Eur","0,075","65,48",15/05/2051
IT0005437147,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005437147.html,Btp Tf 0% Ap26 Eur,,"94,94",01/04/2026
IT0005438004,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005438004.html,"Btpgreen 1,5%Ap45eur","0,75","64,56",30/04/2045
IT0005441883,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005441883.html,"Btp Tf 2,15% Mz72 Eur","1,075","61,92",01/03/2072
IT0005442097,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005442097.html,Btp Futura Ap37 Eur,"0,375","73,50",27/04/2037
IT0005445306,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005445306.html,"Btp Tf 0,5% Lg28 Eur","0,25","90,45",15/07/2028
IT0005449969,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005449969.html,"Btp Tf 0,95% Dc31 Eur","0,475","84,20",01/12/2031
IT0005452989,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005452989.html,Btp Tf 0% Ag24 Eur,,"99,768",15/08/2024
IT0005454241,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005454241.html,Btp Tf 0% Ag26 Eur,,"94,02",01/08/2026
IT0005466013,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005466013.html,"Btp Tf 0,95% Gn32 Eur","0,475","83,11",01/06/2032
IT0005466351,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005466351.html,Btp Futura Nv33 Eur,"0,375","81,05",16/11/2033
IT0005467482,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005467482.html,"Btp Tf 0,45% Fb29 Eur","0,225","88,61",15/02/2029
IT0005474330,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005474330.html,Btp Tf 0% Dc24 Eur,,"98,677",15/12/2024
IT0005480980,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005480980.html,"Btp Tf 2,15% St52 Eur","1,075","67,49",01/09/2052
IT0005482994,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005482994.html,"Btpi Tf 0,1% Mg33 Eur","0,05","87,17",15/05/2033
IT0005484552,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005484552.html,"Btp Tf 1,1% Ap27 Eur","0,55","95,00",01/04/2027
IT0005493298,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005493298.html,"Btp Tf 1,2% Ag25 Eur","0,60","97,83",15/08/2025
IT0005494239,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005494239.html,"Btp Tf 2,5% Dc32 Eur","1,25","92,98",01/12/2032
IT0005495731,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005495731.html,"Btp Tf 2,80% Gn29 Eur","1,40","98,30",15/06/2029
IT0005496770,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005496770.html,"Btp Tf 3,25% Mz38 Eur","1,625","92,99",01/03/2038
IT0005497000,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005497000.html,Btp Italia Gn30 Eur,"0,80","96,50",28/06/2030
IT0005500068,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005500068.html,"Btp Tf 2,65% Dc27 Eur","1,325","98,73",01/12/2027
IT0005508590,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005508590.html,Btpgreen 4%Ap35eur,"2,00","102,76",30/04/2035
